Core_ID	Species	Freq	WTgroup	NEE	R	NEP
M45	M	4	3	-1.291563944	0.82086064	-2.112424584
M54	M	4	3	-1.508824506	0.778568054	-2.28739256
M24	M	4	4	-0.479493114	0.904094761	-1.383587875
M32	M	4	4	0.283107046	0.53405391	-0.250946865
M34	M	4	4	0.229274868	0.531492501	-0.302217632
M45	M	4	4	-0.495622852	0.939120224	-1.434743076
M54	M	4	4	-0.468425909	0.793433315	-1.261859224
M26	M	6	2	-0.999304643	-999	-999
M27	M	6	2	-0.500891506	-999	-999
M31	M	6	2	-0.426123776	-999	-999
M35	M	6	2	-1.530849666	-999	-999
M42	M	6	2	-0.958778496	-999	-999
M26	M	6	3	-1.758777183	0.854309807	-2.61308699
M27	M	6	3	-1.968115528	1.118100535	-3.086216063
M31	M	6	3	-1.943911623	0.66119443	-2.605106052
M35	M	6	3	-1.762984784	1.187316283	-2.950301067
M42	M	6	3	-1.957135512	1.159704276	-3.116839787
M26	M	6	4	-0.039203839	0.774938367	-0.814142206
M27	M	6	4	-0.509649914	0.767779582	-1.277429496
M31	M	6	4	0.101201997	0.881492392	-0.780290395
M35	M	6	4	0.027094422	0.626788385	-0.599693963
M42	M	6	4	-0.387731578	1.070687791	-1.458419369
M13	M	8	2	-1.235360448	-999	-999
M15	M	8	2	-0.939126508	-999	-999
M43	M	8	2	-0.663605528	-999	-999
M44	M	8	2	-0.759590138	-999	-999
M46	M	8	2	-1.086265221	-999	-999
M13	M	8	3	-1.485036732	0.948304774	-2.433341506
M15	M	8	3	-1.391830092	1.198732786	-2.590562878
M43	M	8	3	-1.504292123	1.228258224	-2.732550347
M44	M	8	3	-1.192997222	0.947945691	-2.140942913
M46	M	8	3	-1.809498539	1.123137024	-2.932635564
M13	M	8	4	-0.516302687	1.041405125	-1.557707812
M15	M	8	4	-0.743732795	0.545892544	-1.289625338
M43	M	8	4	-0.733714476	1.040527572	-1.774242048
M44	M	8	4	-0.11788956	0.96657853	-1.08446809
M46	M	8	4	-1.006290482	1.15269792	-2.158988402
M12	M	10	2	-1.21406113	-999	-999
M12	M	10	2	-1.16939905	-999	-999
M22	M	10	2	-1.150163175	-999	-999
M30	M	10	2	-0.76677545	-999	-999
M51	M	10	2	-0.981814077	-999	-999
M56	M	10	2	-0.55378227	-999	-999
M12	M	10	3	-1.265788336	1.038090739	-2.303879075
M22	M	10	3	-1.464356749	1.223136715	-2.687493464
M30	M	10	3	-1.52680079	0.941399642	-2.468200432
M51	M	10	3	-0.966694392	1.130777412	-2.097471804
M56	M	10	3	-0.749107088	-999	-999
M12	M	10	4	-0.130679465	0.672428316	-0.803107781
M22	M	10	4	0.037103634	0.780395679	-0.743292045
M30	M	10	4	0	0.925672201	-0.925672201
M51	M	10	4	0.129156394	0.662776234	-0.53361984
M56	M	10	4	0.493613302	1.130777412	-0.63716411
