Model,RMSE,MAE,MSE,R² Score,Adjusted R²,MAPE (%),Median Abs Error,RMSLE,Explained Variance,Directional Accuracy (%),Residual Std Dev,Residual Skewness,CV RMSE Mean,CV RMSE Std,CV MAE Mean,CV MAE Std,CV R² Mean,CV R² Std
Random Forest,0.33235686069867504,0.26676517586105714,0.11046108285347847,0.6961380056399173,0.6739042011745455,13258739528054.252,0.21740051379976766,,0.6961380056399173,63.63636363636363,0.3312893492521934,-0.23514841620838348,0.3453912249797812,0.04927941305883196,0.27217379707001504,0.0332737227633795,0.6190451993608385,0.14023472188499583
XGBoost,0.3245212927635299,0.2625599158906471,0.1053140694569127,0.7102966732473415,0.6890988688508055,12320835481691.531,0.18584760199281314,,0.7102966732473415,65.9090909090909,0.3243600230134885,-0.4308689003470046,0.3326168394428232,0.044884867596060495,0.2605526000920443,0.029726208634611326,0.6488255030512029,0.12300867625220405
SVR,0.33509838077109083,0.27309444717773673,0.11229092479540699,0.6911043828700261,0.6685022645434426,6266174878468.384,0.23881495564877464,,0.6911043828700261,70.45454545454545,0.3305968811854306,-0.04363050183291942,0.3339254392446331,0.04806260514846162,0.26349872151953496,0.033935665905151104,0.649237640862075,0.11716042320555917
PyTorch LSTM,0.35274583265665826,0.28421222447660216,0.12442962245663915,0.6577126327169998,0.6326672155987314,1871259462679.3445,0.28670573298980717,,0.6577126327169998,68.18181818181817,0.3452698015533417,-0.12602218040232052,,,,,,
