Rank by R²,R² Score,Rank by RMSE,RMSE,Rank by MAE,MAE
XGBoost,0.7102966732473415,XGBoost,0.3245212927635299,XGBoost,0.2625599158906471
Random Forest,0.6961380056399173,Random Forest,0.33235686069867504,Random Forest,0.26676517586105714
SVR,0.6911043828700261,SVR,0.33509838077109083,SVR,0.27309444717773673
PyTorch LSTM,0.6577126327169998,PyTorch LSTM,0.35274583265665826,PyTorch LSTM,0.28421222447660216
